City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,galliano,29.4422,-90.2992,17.78,72,0,0.0,US,1697591360
1,grytviken,-54.2811,-36.5092,1.31,85,97,5.67,GS,1697591360
2,yuzhno-kurilsk,44.0306,145.8556,10.76,75,18,8.39,RU,1697591361
3,blackmans bay,-43.0167,147.3167,20.85,41,10,0.89,AU,1697591361
4,adamstown,-25.066,-130.1015,22.29,86,100,4.02,PN,1697591361
5,puerto natales,-51.7236,-72.4875,5.78,91,100,2.03,CL,1697591361
6,yellowknife,62.456,-114.3525,1.29,100,100,3.09,CA,1697591242
7,monte alegre,-2.0078,-54.0692,25.27,83,87,1.78,BR,1697591362
8,waitangi,-43.9535,-176.5597,12.68,72,27,2.24,NZ,1697591362
9,invercargill,-46.4,168.35,16.12,64,99,6.26,NZ,1697591362
10,college,64.8569,-147.8028,2.26,82,75,2.06,US,1697591363
11,cambria,35.5641,-121.0808,29.58,66,27,4.79,US,1697591363
12,ushuaia,-54.8,-68.3,6.74,85,100,4.67,AR,1697591363
13,requena,39.4883,-1.1004,14.73,78,0,2.99,ES,1697591363
14,island harbour,50.724,-1.2758,13.9,84,100,4.02,GB,1697591363
15,puerto ayora,-0.7393,-90.3518,24.19,94,24,1.79,EC,1697591364
16,witu,-2.3889,40.4382,27.09,91,100,3.17,KE,1697591364
17,sisimiut,66.9395,-53.6735,-7.49,79,47,4.51,GL,1697591364
18,taroa,8.7058,171.2275,28.29,76,34,2.75,MH,1697591364
19,tiksi,71.6872,128.8694,-15.47,100,100,1.54,RU,1697591365
20,znomenka,48.7128,32.6647,3.38,56,5,2.71,UA,1697591365
21,nadym,65.5333,72.5167,4.15,93,100,5.13,RU,1697591365
22,trinity beach,-16.7888,145.6968,30.56,54,40,8.75,AU,1697591365
23,hamilton,39.1834,-84.5333,11.52,80,100,2.57,US,1697591348
24,olonkinbyen,70.9221,-8.7187,0.61,79,100,2.86,SJ,1697591366
25,tadmur,34.5608,38.2805,18.65,62,0,1.09,SY,1697591366
26,iqaluit,63.7506,-68.5145,-2.39,74,100,0.89,CA,1697591366
27,hawaiian paradise park,19.5933,-154.9731,27.8,73,40,3.6,US,1697591366
28,tolanaro,-25.0319,46.9987,21.86,95,100,4.51,MG,1697591366
29,st. john's,47.5649,-52.7093,4.82,90,100,2.06,CA,1697591367
30,lata,40.1629,-8.3327,17.73,90,77,4.55,PT,1697591367
31,nadi,-17.8,177.4167,29.0,61,20,6.17,FJ,1697591367
32,gokwe,-18.2048,28.9349,17.02,84,15,5.04,ZW,1697591367
33,ust-nera,64.5667,143.2,-15.44,85,95,1.34,RU,1697591368
34,port-aux-francais,-49.35,70.2167,2.41,73,98,6.29,TF,1697591368
35,flying fish cove,-10.4217,105.6791,26.82,78,75,4.63,CX,1697591368
36,maxixe,-23.8597,35.3472,19.16,95,14,3.11,MZ,1697591368
37,sona,45.4388,10.8255,12.75,81,0,1.54,IT,1697591368
38,uturoa,-16.7333,-151.4333,26.01,82,70,6.41,PF,1697591369
39,serdar,38.9764,56.2757,17.42,69,99,4.1,TM,1697591369
40,itzehoe,53.921,9.5153,3.3,84,81,1.31,DE,1697591369
